,ChannelBandwidth,Freq,RSSI,channel_utilisation,count,distance,rxbytes,rxpackets,txbytes,txpackets,Score
0,0,2447,-50,9.722222222222223,3,3.082237007959015,182686,270,66588,263,42.33
2,0,2412,-95,0.0,0,556.0613330868033,521148474,528509,58537457,257923,39.96
3,1,2472,-59,6.944444444444445,0,8.59907097579735,521148474,528509,58537555,257924,42.12
4,0,2437,-49,9.722222222222223,0,2.7583188720212,521148474,528509,58537845,257927,48.36
7,0,2412,-95,0.0,0,556.0613330868033,521370780,528877,58606944,258277,39.96
14,0,2437,-49,9.722222222222223,0,2.7583188720212,521429332,528969,58626232,258356,48.36
23,0,2437,-45,9.722222222222223,0,1.7403815507200984,521450081,529022,58639076,258397,52.58
28,0,2437,-81,2.7777777777777777,0,109.81065216246742,197077350,304999,44693477,198081,32.05
29,0,2412,-90,1.3888888888888888,0,312.69626693514505,523316916,534892,68809875,268426,35.0
34,0,2412,-88,1.3888888888888888,0,248.3834737194667,523316916,534892,68809875,268426,34.15
47,1,2417,-86,1.3888888888888888,0,196.8898597388567,197084498,305019,44696483,198098,34.02
51,0,2457,-82,2.7777777777777777,0,122.20665123570474,197084498,305019,44696483,198098,31.95
52,0,2412,-85,1.3888888888888888,0,175.8420331303846,197084498,305019,44696483,198098,32.89
58,1,2472,-77,4.166666666666666,0,68.30484868473911,197101444,305070,44704382,198148,33.03
60,1,2457,-85,1.3888888888888888,0,172.62148307305162,197101444,305070,44704382,198148,33.87
68,0,2462,-76,4.166666666666666,0,61.12402594648713,197101444,305070,44704382,198148,32.35
69,0,2437,-74,4.166666666666666,0,49.05061656437086,197101444,305070,44704382,198148,33.08
72,0,2412,-81,2.7777777777777777,0,110.9488222719457,197132695,305147,44715672,198220,32.05
79,0,2462,-84,2.7777777777777777,0,153.53661141422052,197132695,305147,44715672,198220,31.9
97,2,5220,-58,83.33333333333334,1,3.629355391487726,229721722,339062,50583363,227103,-2.48
104,0,2462,-61,6.944444444444445,0,10.869559679932294,229721722,339062,50583363,227103,39.13
111,1,2432,-75,4.166666666666666,0,55.14884602818142,229721722,339062,50583363,227103,33.83
113,2,5200,-69,55.55555555555556,2,12.926967482914757,229721722,339062,50583363,227103,8.71
136,2,5200,-69,55.55555555555556,3,12.926967482914757,229721722,339062,50583363,227103,9.71
137,2,5220,-61,69.44444444444444,3,5.1266007532554285,229721722,339062,50583363,227103,6.15
256,2,5180,-88,13.88888888888889,0,115.65655185547364,229721722,339062,50583363,227103,27.66
268,0,2432,-58,8.333333333333332,0,7.789981555742569,229721722,339062,50583363,227103,40.57
269,2,5200,-68,55.55555555555556,5,11.521171896372197,229721722,339062,50583363,227103,12.31
275,0,2462,-66,5.555555555555555,0,19.329114175012865,229721722,339062,50583363,227103,36.55
279,0,2432,-79,2.7777777777777777,0,87.40503064215083,229721722,339062,50583363,227103,32.54
287,2,5220,-53,83.33333333333334,5,2.040936520435946,229721722,339062,50583363,227103,5.94
288,0,2422,-56,8.333333333333332,0,6.21335061437866,229721722,339062,50583363,227103,42.24
289,0,2462,-68,5.555555555555555,0,24.333913022394547,229721722,339062,50583363,227103,35.33
306,1,2432,-76,4.166666666666666,0,61.87802297707709,229721782,339063,50583363,227103,33.48
310,2,5200,-72,55.55555555555556,5,18.25982690773459,229721782,339063,50583363,227103,10.05
311,2,5220,-56,83.33333333333334,5,2.8828994613074994,229721782,339063,50583363,227103,3.23
316,0,2462,-54,8.333333333333332,0,4.855253962931431,229721782,339063,50583363,227103,44.06
318,0,2412,-69,5.555555555555555,0,27.869084125686825,229721782,339063,50583363,227103,34.72
322,1,2432,-65,6.944444444444445,0,17.439596377898376,229721782,339063,50583363,227103,37.27
447,0,2447,-50,9.722222222222223,5,3.082237007959015,223159,571,127382,719,45.05
453,0,2447,-50,9.722222222222223,5,3.082237007959015,4398505,3857,249789,2063,46.87
456,0,2447,-50,9.722222222222223,5,3.082237007959015,4423740,3926,263108,2128,46.9
465,0,2422,-75,4.166666666666666,0,55.37654564018864,762562874,769206,92077421,366859,33.68
477,0,2437,-58,8.333333333333332,0,7.77399882788917,770618861,799059,135409279,511897,41.63
480,0,2437,-49,9.722222222222223,0,2.7583188720212,770618861,799059,135409279,511897,49.0
