,ChannelBandwidth,Freq,RSSI,channel_utilisation,count,distance,rxbytes,rxpackets,txbytes,txpackets,Score
3,1,2472,-59,6.944444444444445,0,8.59907097579735,521148474,528509,58537555,257924,42.12
9,0,2437,-49,9.722222222222223,0,2.7583188720212,521377141,528884,58608836,258284,48.36
11,1,2412,-89,1.3888888888888888,0,278.6908412568683,521377141,528884,58609197,258285,35.47
13,1,2472,-59,6.944444444444445,0,8.59907097579735,521429332,528969,58625650,258354,42.12
31,1,2472,-76,4.166666666666666,0,60.8767604693573,523316916,534892,68809875,268426,33.98
40,0,2462,-76,4.166666666666666,0,61.12402594648713,523316916,534892,68809875,268426,32.97
41,0,2412,-79,2.7777777777777777,0,88.12978214001267,197084498,305019,44696483,198098,32.39
42,0,2437,-70,5.555555555555555,0,30.948846772571624,523316916,534892,68809875,268426,34.68
52,0,2412,-85,1.3888888888888888,0,175.8420331303846,197084498,305019,44696483,198098,32.89
88,1,2472,-86,1.3888888888888888,0,192.50921965567008,229721722,339062,50583363,227103,34.13
91,1,2432,-78,4.166666666666666,0,77.8998155574257,229721722,339062,50583363,227103,32.88
98,0,2462,-85,1.3888888888888888,0,172.270911417745,229721722,339062,50583363,227103,33.01
99,0,2452,-79,2.7777777777777777,0,86.69210217035506,229721722,339062,50583363,227103,32.55
113,2,5200,-69,55.55555555555556,2,12.926967482914757,229721722,339062,50583363,227103,8.71
136,2,5200,-69,55.55555555555556,3,12.926967482914757,229721722,339062,50583363,227103,9.71
159,2,5200,-69,55.55555555555556,4,12.926967482914757,229721722,339062,50583363,227103,10.71
160,2,5220,-61,69.44444444444444,4,5.1266007532554285,229721722,339062,50583363,227103,7.15
265,1,2432,-70,5.555555555555555,0,31.01247515820606,229721722,339062,50583363,227103,35.2
269,2,5200,-68,55.55555555555556,5,11.521171896372197,229721722,339062,50583363,227103,12.31
275,0,2462,-66,5.555555555555555,0,19.329114175012865,229721722,339062,50583363,227103,36.55
279,0,2432,-79,2.7777777777777777,0,87.40503064215083,229721722,339062,50583363,227103,32.54
282,1,2432,-74,4.166666666666666,0,49.15146075961017,229721722,339062,50583363,227103,34.22
287,2,5220,-53,83.33333333333334,5,2.040936520435946,229721722,339062,50583363,227103,5.94
289,0,2462,-68,5.555555555555555,0,24.333913022394547,229721722,339062,50583363,227103,35.33
293,1,2457,-83,2.7777777777777777,0,137.11811792490465,229721722,339062,50583363,227103,33.04
298,2,5200,-72,55.55555555555556,5,18.25982690773459,229721722,339062,50583363,227103,10.05
301,0,2462,-68,5.555555555555555,0,24.333913022394547,229721782,339063,50583363,227103,35.33
302,2,5180,-80,27.77777777777778,0,46.043702615156455,229721782,339063,50583363,227103,19.8
311,2,5220,-56,83.33333333333334,5,2.8828994613074994,229721782,339063,50583363,227103,3.23
313,0,2462,-76,4.166666666666666,0,61.12402594648713,229721782,339063,50583363,227103,32.49
318,0,2412,-69,5.555555555555555,0,27.869084125686825,229721782,339063,50583363,227103,34.72
322,1,2432,-65,6.944444444444445,0,17.439596377898376,229721782,339063,50583363,227103,37.27
325,0,2432,-61,6.944444444444445,0,11.003641419405156,229721782,339063,50583363,227103,39.1
326,2,5220,-43,97.2222222222222,5,0.6454007964396378,229721782,339063,50583363,227103,7.28
450,0,2447,-50,9.722222222222223,5,3.082237007959015,4375876,3794,238726,2004,46.84
453,0,2447,-50,9.722222222222223,5,3.082237007959015,4398505,3857,249789,2063,46.87
455,0,2447,-50,9.722222222222223,5,3.082237007959015,4414898,3906,259463,2109,46.89
464,0,2462,-73,4.166666666666666,0,43.27249649340224,762562874,769206,92077421,366859,34.52
465,0,2422,-75,4.166666666666666,0,55.37654564018864,762562874,769206,92077421,366859,33.68
475,0,2437,-46,9.722222222222223,1,1.952740217434619,770618861,799059,135409279,511897,53.14
477,0,2437,-58,8.333333333333332,0,7.77399882788917,770618861,799059,135409279,511897,41.63
479,0,2437,-36,9.722222222222223,2,0.6175106765705839,770618861,799059,135409279,511897,65.91
487,0,2437,-23,9.722222222222223,0,0.1382434204930203,770619253,799063,135409863,511901,82.23
493,0,2437,-59,6.944444444444445,2,8.722570148613483,1282444933,1201682,125416226,488645,43.94
495,0,2437,-57,8.333333333333332,0,6.928583748406862,1282444933,1201682,125416226,488645,42.69
502,0,2437,-61,6.944444444444445,5,10.981065216246742,1282444933,1201682,125416226,488645,45.39
517,1,2417,-53,8.333333333333332,0,4.407814909671342,1455455562,1262755,67817531,311022,46.97
520,0,2447,-71,5.555555555555555,0,34.58326803462483,1455472407,1262814,67830876,311075,34.73
527,1,2417,-71,5.555555555555555,0,35.012518361906054,1455472407,1262814,67830876,311075,35.71
528,2,5200,-88,13.88888888888889,0,115.21171896372202,1455472407,1262814,67830876,311075,28.71
529,2,5180,-87,13.88888888888889,0,103.07901034250511,1455472407,1262814,67830876,311075,28.7
549,0,2462,-89,1.3888888888888888,0,273.0309947650554,1455665131,1263328,67957502,311570,35.02
551,1,2427,-89,1.3888888888888888,0,276.9684009524379,1455665131,1263328,67957502,311570,36.07
553,1,2432,-78,4.166666666666666,0,77.8998155574257,1455695221,1263393,67968256,311629,33.92
570,0,2447,-73,4.166666666666666,0,43.5377549516781,1455955595,1263929,68219408,312145,34.69
591,2,5180,-92,0.0,0,183.303281699266,1455959538,1263938,68222031,312152,38.28
594,0,2437,-81,2.7777777777777777,0,109.81065216246742,1456024212,1264057,68248905,312234,33.23
615,0,2437,-71,5.555555555555555,0,34.725177218189124,1456113913,1264226,68288636,312350,34.73
619,0,2462,-86,1.3888888888888888,0,193.29114175012865,1456113965,1264227,68289245,312351,34.18
626,0,2462,-86,1.3888888888888888,0,193.29114175012865,1456143540,1264286,68304828,312392,34.18
632,0,2437,-79,2.7777777777777777,0,87.22570148613484,2058440949,2203630,368804387,1523574,34.73
636,0,2437,-79,2.7777777777777777,0,87.22570148613484,2058523745,2203778,368836904,1523748,34.73
639,0,2437,-77,4.166666666666666,0,69.28583748406861,2058744213,2204365,369055626,1524451,34.35
652,0,2447,-50,9.722222222222223,4,3.082237007959015,17011,73,33242,147,41.97
661,0,2417,-85,1.3888888888888888,4,175.47827220127766,130577297,112421,5761329,28968,35.4
664,0,2417,-44,9.722222222222223,5,1.5639517472147748,30663,427,7777,104,49.42
700,0,2412,-89,1.3888888888888888,0,278.6908412568683,2200416851,2334223,380439106,1594919,36.29
715,0,2437,-88,1.3888888888888888,0,245.83542823609105,2200669026,2334676,380541807,1595395,35.89
729,0,2412,-68,5.555555555555555,0,24.838347371946657,2570126157,2484510,374151417,1238997,37.52
730,0,2462,-84,2.7777777777777777,0,153.53661141422052,2570126157,2484510,374151417,1238997,34.27
732,0,2462,-72,5.555555555555555,0,38.56665309513396,2570126157,2484510,374151417,1238997,35.45
736,2,5745,-87,13.88888888888889,0,92.94156197983924,2570126458,2484511,374152177,1238999,30.25
741,0,2447,-50,9.722222222222223,4,3.082237007959015,11409,49,20986,88,41.48
756,0,2447,-50,9.722222222222223,5,3.082237007959015,21343,86,33416,187,43.14
760,0,2447,-50,9.722222222222223,5,3.082237007959015,21343,86,34601,205,43.18
762,0,2447,-50,9.722222222222223,5,3.082237007959015,21383,87,35271,215,43.2
768,2,5805,-88,13.88888888888889,0,103.20429605708073,47171653,85630,26170025,90043,26.79
770,0,2437,-72,5.555555555555555,0,38.9622896677143,47171653,85630,26170025,90043,31.95
774,2,5785,-86,13.88888888888889,0,82.26150233168825,47171653,85630,26170025,90043,26.87
800,0,2437,-60,6.944444444444445,0,9.78688467568775,47171653,85630,26170025,90043,38.62
809,0,2422,-81,2.7777777777777777,0,110.49073464902268,47171653,85630,26170025,90043,30.94
813,2,5200,-35,97.2222222222222,5,0.2579269106548792,47171653,85630,26170025,90043,15.77
871,2,5260,-79,27.77777777777778,0,40.41236397751149,1552136879,1578200,197589443,807768,21.85
873,1,2422,-56,8.333333333333332,0,6.21335061437866,1552136879,1578200,197589443,807768,44.92
874,0,2462,-81,2.7777777777777777,0,108.69559679932294,1552136879,1578200,197589443,807768,33.87
880,0,2437,-86,1.3888888888888888,0,195.27402174346196,1552136879,1578200,197589443,807768,34.83
